relation,num_kn_rel,orig_ppl,erased_ppl,ppl_increase_ratio,other_orig_ppl,other_erased_ppl,other_ppl_increase_ratio,time_s,model,avg_ig_kn,avg_base_kn,ig_inner_inter,ig_inter_inter,base_inner_inter,base_inter_inter
BR01,19.0,14815.5808,30443.8924,1.0549,14493.8541,30010.7319,1.0706,265.7790149,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR02,15.0,26687.6366,51922.1874,0.9456,14110.6538,29339.1851,1.0792,263.49771189999996,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR03,20.0,5881.0766,15128.7464,1.5724,16034.414,32836.2416,1.0479,266.91666869999995,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR04,20.0,13281.7894,36429.1719,1.7428,14697.4815,36147.693,1.4594,257.7187944,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR05,20.0,6224.6156,17687.1542,1.8415,15163.6832,41209.0679,1.7176,259.9371859999999,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR06,20.0,30915.5662,184151.3174,4.9566,9607.9209,22907.6097,1.3842,262.43269110000006,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR07,20.0,10994.8335,31111.4783,1.8296,14930.5526,27827.9916,0.8638,272.5124871999999,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR08,19.0,8769.8603,28711.7604,2.2739,15022.1607,43086.578,1.8682,263.37629960000004,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR09,13.0,6127.0466,13328.051,1.1753,16148.9935,35741.4613,1.2132,262.78370710000036,bert-base-cased,2.4857423795476894,41.474926253687315,1.4940519182563623,0.28186823992133725,28.698878361728344,23.44882005899705
BR01,20.0,103071.3936,252463.4769,1.4494,137438.8055,241489.9351,0.7571,249.8151581000002,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR02,9.0,290624.9932,723653.8359,1.49,130225.3685,384541.4378,1.9529,247.14747459999944,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR03,20.0,22563.7135,58549.2962,1.5948,164347.761,444916.7603,1.7072,251.15434299999924,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR04,20.0,166222.117,427694.6165,1.573,131013.064,363131.704,1.7717,249.1658556000002,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR05,10.0,135145.6967,409664.2115,2.0313,134923.2696,470205.8203,2.485,252.50890320000053,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR06,20.0,166262.4189,1280301.7614,6.7005,120407.0756,413648.2796,2.4354,251.6708219000011,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR07,10.0,182271.1738,597392.3365,2.2775,130864.514,403897.6006,2.0864,245.21388060000027,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR08,16.0,180474.0915,575809.2248,2.1905,132281.4942,475168.5026,2.5921,248.19654749999972,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR09,12.0,154465.833,424958.3897,1.7511,132695.5043,462627.7549,2.4864,250.4284731000007,bert-base-uncased,2.050147492625369,54.5771878072763,1.2798466244636104,0.34236971484759093,38.53561413944003,28.948692232055063
BR01,18.0,13515.8887,35669.3214,1.6391,15350.7775,36775.6074,1.3957,492.52229720000014,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR02,9.0,13308.0328,27992.9982,1.1035,15321.6105,33151.6238,1.1637,514.9611650000002,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR03,20.0,5272.145,10377.4467,0.9684,17115.3034,36866.4731,1.154,518.3398264000002,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR04,20.0,11198.0806,23847.9787,1.1296,15902.6336,32011.8489,1.013,513.4545324000001,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR05,8.0,3831.5076,9372.4064,1.4461,16352.3697,37761.3868,1.3092,504.60326090000035,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR06,20.0,59823.6621,281713.8016,3.7091,7217.1238,15440.3024,1.1394,493.0955163999997,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR07,20.0,6975.9441,19687.0759,1.8221,16486.2023,38854.8015,1.3568,498.22526579999976,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR08,10.0,7413.1155,20061.8653,1.7063,15993.374,38246.2871,1.3914,497.6112410000005,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR09,11.0,4267.8619,12055.7229,1.8248,17822.0853,50266.1464,1.8204,505.6265688000003,bert-large-cased,1.8810226155358898,88.41002949852508,1.1085949781195565,0.2784660766961652,60.53472192717849,36.76173058013766
BR01,20.0,47227.2703,72213.0239,0.5291,40913.4839,67102.8199,0.6401,476.2886910999987,bert-large-cased_incivility,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
BR02,19.0,20739.3172,49862.7023,1.4043,42628.016,80488.3209,0.8882,496.5821509999987,bert-large-cased_incivility,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
BR03,20.0,182961.548,260704.794,0.4249,35040.0309,50459.8251,0.4401,485.2188479999968,bert-large-cased_incivility,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
BR04,20.0,45963.1792,93735.0597,1.0394,40669.2067,91881.081,1.2592,476.8244676000031,bert-large-cased_incivility,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
BR05,19.0,30952.0416,73056.1734,1.3603,41910.3756,82831.0643,0.9764,477.6184088000009,bert-large-cased_incivility,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
BR06,20.0,32626.1432,94237.71,1.8884,46952.1498,89735.4901,0.9112,582.0885208000036,bert-large-cased_incivility,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
BR07,20.0,35286.1256,68225.8532,0.9335,41956.5967,73915.1341,0.7617,543.3872890999992,bert-large-cased_incivility,3.799410029498525,88.32350049164208,1.9586183455835493,1.2870009832841691,61.00389811785699,37.585880039331364
