relation,metric,mean_delta,median_delta,min_delta,max_delta,mean_percentage
BR01,accuracy,-0.025847245312390122,0.00038037276530999975,-0.32369722327881323,0.05875478799863321,-0.02650134399371823
BR01,f1_macro,-0.06471796619800851,9.247885464508387e-05,-0.5363795015679351,0.03184325170127483,-0.07711271284418994
BR01,perplexity,-15.484777927398682,-15.484777927398682,-29.975289344787598,-0.9942665100097656,-0.3718070031666289
BR02,accuracy,-0.11727735634422487,0.0,-0.7363636363636363,0.08000000000000002,-0.12447555438761344
BR02,f1_macro,-0.1132581352656559,-0.0006214520235008347,-0.5819094107915057,0.026664082391636645,-0.17637178437133644
BR02,perplexity,-13.334589004516602,-13.334589004516602,-30.00885772705078,3.339679718017578,-0.32017853917398
BR03,accuracy,-0.08298174874138628,0.0,-0.5872955496386458,0.067587196487648,-0.09995697150709534
BR03,f1_macro,-0.09146836387849795,0.0,-0.662008563467382,0.010536307400042133,-0.12369006650446848
BR03,perplexity,-15.981374740600582,-15.981374740600582,-30.329132080078125,-1.6336174011230398,-0.3837308533997019
BR04,accuracy,-0.045613528605601715,0.0,-0.4366679345758843,0.15199999999999997,-0.030485487060040218
BR04,f1_macro,-0.0637915161981518,0.0,-0.5164709481386573,0.010075622345417534,-0.07757859837146415
BR04,perplexity,-16.787959575653073,-16.787959575653073,-30.997233390808105,-2.5786857604980398,-0.40309786607024756
BR05,accuracy,-0.14298451668318943,-7.96987539213867e-05,-0.5825757575757575,0.06936861989135812,-0.17334089276633113
BR05,f1_macro,-0.11765076771737658,-0.0276701551372604,-0.6239079942192517,0.014780541096330646,-0.1860218205207256
BR05,perplexity,-14.924514770507812,-14.924514770507812,-30.87551498413086,1.0264854431152344,-0.3583544521307056
BR06,accuracy,-0.06862980897180573,0.00038037276530999975,-0.6015151515151516,0.14399999999999996,-0.058044101110569624
BR06,f1_macro,-0.09121234045701215,0.0,-0.5602863560787082,0.019400545716335316,-0.1313239687867491
BR06,perplexity,-18.560466289520264,-18.560466289520264,-30.471137046813965,-6.6497955322265625,-0.4456577537525633
BR07,accuracy,-0.13990979366100031,0.0,-0.7356060606060606,0.15999999999999998,-0.15187339636832525
BR07,f1_macro,-0.12452988646430654,-0.00013692965416689518,-0.5025533990613733,0.017382674846005308,-0.2157911390392869
BR07,perplexity,-14.668096542358398,-14.668096542358398,-30.219409942626953,0.8832168579101562,-0.35219756093003557
BR08,accuracy,-0.08339817851968803,0.0,-0.7204545454545455,0.13599999999999995,-0.07676973894148738
BR08,f1_macro,-0.10072163723263297,0.0,-0.5290010935312575,0.05206214087793043,-0.15494861162721235
BR08,perplexity,-16.035900115966797,-16.035900115966797,-30.28155517578125,-1.7902450561523438,-0.38504006923130757
BR09,accuracy,-0.05247461067536152,0.0,-0.5435526816279954,0.06359515994119436,-0.0636783276532484
BR09,f1_macro,-0.0786172439953127,0.0,-0.5377992858306418,0.021062035025119108,-0.10912763307062229
BR09,perplexity,-14.564589977264404,-14.564589977264404,-30.439459800720215,1.3102798461914062,-0.3497122514243968
