model,task,biased_rel_removed,time,accuracy,cm_00,cm_01,cm_10,cm_11,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,f1_None,precision_None,recall_None
aieng-lab/bert-large-cased_incivility,incivility,None,1.383,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR01,1.271,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR02,1.229,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR03,1.203,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR04,1.203,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR05,1.199,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR06,1.183,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR07,1.193,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR08,1.189,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
aieng-lab/bert-large-cased_incivility,incivility,BR09,1.21,0.6967741935483871,216,0,94,0,0.6967741935483871,0.6967741935483871,0.6967741935483871,0.41064638783269963,0.34838709677419355,0.5,"[0.8212927756653993, 0.0]","[0.6967741935483871, 0.0]","[1.0, 0.0]"
bert-large-cased,incivility,None,1.25,0.6935483870967742,211,5,90,4,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.4469587425588252,0.5727205610926541,0.5097025216706068,"[0.816247582205029, 0.07766990291262137]","[0.7009966777408638, 0.4444444444444444]","[0.9768518518518519, 0.0425531914893617]"
